mms_id,id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
990028611580106381,APZ7264.0001.001,Buhay na nasapit ni Anselmo at ni Elisa:  sa ciudad nang Ulma sacop nang reinong Alemania / tinula ni Don A. L. V., A. L. V.,['Buhay na nasapit ni Anselmo at ni Elisa:  sa ciudad nang Ulma sacop nang reinong Alemania / tinula ni Don A. L. V.'],"[' A. L. V.', 'American Philosophical Society. Library.']",Manila :,"Establecimiento de Fajardo y Comp.,",1905.,"['""Sinipi sa librong ñgala,i, Voz de la Naturaleza.""--T.p.', 'Microfilm no. 38.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['tgl: Tagalog'],"['Tagalog poetry.', 'Corridos.']"
990014875960106381,AGJ0396.0001.001,"Descripción física, geológica y minera en bosquejo de la isla de Panay, / por Don Enrique Abella y Casariego."," Abella y Casariego, Enrique.","['Descripción física, geológica y minera en bosquejo de la isla de Panay, / por Don Enrique Abella y Casariego.']","[' Abella y Casariego, Enrique.', 'Spain. Comisión geológica y geográfica especial para Filipinas.']",Manila :,"Tipo-lit de Chofré y ca.,",1890.,"['Prepared by Abella y Casariego as chief of a Comisión geológica y geográfica especial para Filipinas, created in 1885. cf. Prólogo.']",['tgl: Tagalog'],"['Geology -- Philippines', 'Panay Island (Philippines) -- Description and travel.']"
990018711010106381,AHZ9326.0001.001,Filipinas. Prólogo escrito por don Gonzalo Reparaz.," Abella y Casariego, Enrique.",['Filipinas. Prólogo escrito por don Gonzalo Reparaz.'],"[' Abella y Casariego, Enrique.']","Madrid,","Impr. de E. Teodoro y Alonso,",1898.,['Causas y período preparatorio de la insurrección.--Insurrección durante el mando del general Blanco.--Insurrección durante el mando del general Polavieja.--Insurrección durante el mando del general Primo de Rivera.--Apéndice.'],['spa: Spanish'],[]
990003843750106381,ABR2381.0001.001,"Rápida descripcion física, geológica y minera de la Isla de Cebú archipiélago Filipino) / por D. Enrique Abella y Casariego."," Abella y Casariego, Enrique.","['Rápida descripcion física, geológica y minera de la Isla de Cebú archipiélago Filipino) / por D. Enrique Abella y Casariego.']","[' Abella y Casariego, Enrique.']",Madrid :,"Imprenta y Fundición de Manuel Tello,",1886.,['Some pages uncut.'],['spa: Spanish'],"['Mines and mineral resources -- History', 'Cebu City (Philippines) -- Description and travel.']"
990005635590106381,ACK4656.0001.001,"Vade-mecum filipino, o, Manual de la conversación familiar español-tagalog : sequido de un curioso vocabulario de modismos Manileños."," Abella, V. M. de.","['Vade-mecum filipino, o, Manual de la conversación familiar español-tagalog : sequido de un curioso vocabulario de modismos Manileños.']","[' Abella, V. M. de.']",Manila :,"C. Miralles,",1874.,[],['spa: Spanish'],['Tagalog language -- Conversation and phrase books']
990022091760106381,AKM8935.0001.001,Philippine history : reassessed / Isidro Escare Abeto.," Abeto, Isidro Escare.",['Philippine history : reassessed / Isidro Escare Abeto.'],"[' Abeto, Isidro Escare.']",Metro Manila :,"Integrated Publishing House,",1989.,"['Includes bibliographical references and indexes.', 'v. 1. A collection of undiscovered historical facts from prehistoric time to 1872.']",['eng: English'],"['Philippines -- History.', 'Philippines -- Biography.']"
990005526730106381,ACJ3603.1919.001,Anales de la Academia de la Historia; publicación bimestre. [1919],"Academia de la Historia de Cuba, Havana.",['Anales de la Academia de la Historia; publicación bimestre. [1919]'],"['Academia de la Historia de Cuba, Havana.', 'Figarola-Caneda, Domingo, 1852-1926.']",,,,['Director: 1919- Domingo Figarola-Caneda.'],['spa: Spanish'],['Cuba -- History']
990005526730106381,ACJ3603.1920.001,Anales de la Academia de la Historia; publicación bimestre. [1920],"Academia de la Historia de Cuba, Havana.",['Anales de la Academia de la Historia; publicación bimestre. [1920]'],"['Academia de la Historia de Cuba, Havana.', 'Figarola-Caneda, Domingo, 1852-1926.']",,,,['Director: 1919- Domingo Figarola-Caneda.'],['spa: Spanish'],['Cuba -- History']
990005526730106381,ACJ3603.1921.001,Anales de la Academia de la Historia; publicación bimestre. [1921],"Academia de la Historia de Cuba, Havana.",['Anales de la Academia de la Historia; publicación bimestre. [1921]'],"['Academia de la Historia de Cuba, Havana.', 'Figarola-Caneda, Domingo, 1852-1926.']",,,,['Director: 1919- Domingo Figarola-Caneda.'],['spa: Spanish'],['Cuba -- History']
990028946050106381,AQG7228.0001.001,Adalan sa mga Cristianos:  ñga isulat sa Cuyunon ig sa isarang Padre Agustino Recoleto.,,['Adalan sa mga Cristianos:  ñga isulat sa Cuyunon ig sa isarang Padre Agustino Recoleto.'],['American Philosophical Society. Library.'],Manila :,"Imp. del Colegio de Sto. Tomàs,",1904.,"['Microfilm no. 9.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['map: Austronesian (other)'],"['Cuyunon language -- Texts.', 'Catholic Church -- Prayer-books and devotions']"
990004673740106381,ABZ6706.0001.001,"""Imperialism"" and ""The tracks of our forefathers."" A paper read before the Lexington, Massachusetts Historical Society, Tuesday, December 20, 1898."," Adams, Charles Francis, 1835-1915.","['""Imperialism"" and ""The tracks of our forefathers."" A paper read before the Lexington, Massachusetts Historical Society, Tuesday, December 20, 1898.']","[' Adams, Charles Francis, 1835-1915.']",Boston:,"D. Estes & Co.,",1899.,['No title-page. Title taken from inside cover.'],['eng: English'],['United States -- Territorial expansion']
990027908730106381,APS6598.0001.001,De Barè sprekende Toradjas van Midden-Celebes:  door N. Adriani en Alb. C. Kruijt.," Adriani, N. (Nicolaus), 1865-1926.",['De Barè sprekende Toradjas van Midden-Celebes:  door N. Adriani en Alb. C. Kruijt.'],"[' Adriani, N. (Nicolaus), 1865-1926.', 'Kruijt, Albertus Christiaan, joint author. 1869-1949,', 'American Philosophical Society. Library.']",Batavia :,"Landsdrukkerij,",1912.,"['Microfilm no. 40.', 'Includes bibliographical references.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['dut: Dutch'],"['Toraja (Indonesian people)', 'Bareè dialect.']"
990027908700106381,APS6595.0001.001,De Bareè sprekende Toradjas van Midden-Celebes:  door N. Adriani en Alb. C. Kruijt.," Adriani, N. (Nicolaus), 1865-1926.",['De Bareè sprekende Toradjas van Midden-Celebes:  door N. Adriani en Alb. C. Kruijt.'],"[' Adriani, N. (Nicolaus), 1865-1926.', 'Kruijt, Albertus Christiaan, joint author. 1869-1949,', 'American Philosophical Society. Library.']",Batavia :,"Landsdrukkerij,",1912.,"['Microfilm no. 40.', 'Includes bibliographical references.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']",['dut: Dutch'],"['Toraja (Indonesian people)', 'Bareè dialect.']"
990013598630106381,AFU8763.0001.001,Sangireesche spraakkunst. Uitg. door 't Nederlandsch Bijbelgenootschap.," Adriani, N. (Nicolaus), 1865-1926.","[""Sangireesche spraakkunst. Uitg. door 't Nederlandsch Bijbelgenootschap.""]","[' Adriani, N. (Nicolaus), 1865-1926.']","Leiden,","A. H. Adriani,",1893.,"[""Issued also as the author's thesis, Leyden.""]",['dut: Dutch'],['Sangir language (Indonesia and Philippines) -- Grammar']
990015235240106381,AGM7458.0001.001,"A reconnoissance of the Bahamas and of the elevated reefs of Cuba in the steam yacht ""Wild duck"", January to April, 1893. By Alexander Agassiz. With forty-seven plates."," Agassiz, Alexander, 1835-1910.","['A reconnoissance of the Bahamas and of the elevated reefs of Cuba in the steam yacht ""Wild duck"", January to April, 1893. By Alexander Agassiz. With forty-seven plates.']","[' Agassiz, Alexander, 1835-1910.', '""Wild duck"" (Steamer)']","Cambridge, Mass.,","Printed for the Museum,",1894.,[],['eng: English'],"['Geology -- Bahamas.', 'Geology -- Cuba.', 'Bahamas -- Description and travel', 'Cuba -- Description and travel']"
990018306980106381,AHV7801.0001.001,"Novenary of the motherland : (the motherland is symbolized in the envisioned Mother of Balintawak) / Gregorio Aglipay y Labayan; Isabelo de Los Reyes, Jr."," Aglipay y Labayán, Gregorio, 1860-1940.","['Novenary of the motherland : (the motherland is symbolized in the envisioned Mother of Balintawak) / Gregorio Aglipay y Labayan; Isabelo de Los Reyes, Jr.']","[' Aglipay y Labayán, Gregorio, 1860-1940.']",Manila :,"s.n.,",1926.,"['Photocopy. Ann Arbor, Michigan : University of Michigan Library Photoduplication Service, 1986.']",['eng: English'],"['Novenas.', 'Iglesia Filipina Independiente.', 'Iglesia Filipina Independiente -- Liturgy']"
990037944480106381,AUJ6882.0001.001,Agui-agui ni Da. Floserfida asin ni D. Juan Tiñso na aqui nin hadeng si Artus asin Da. Blanca sa Reinong Valencia.,,['Agui-agui ni Da. Floserfida asin ni D. Juan Tiñso na aqui nin hadeng si Artus asin Da. Blanca sa Reinong Valencia.'],[],Naga City :,"Cecilio Press,",[192-],['In Bikol language.'],['bik: Bikol'],"['Bikol language -- Texts.', 'Bikol language -- Versification.']"
990035602740106381,ATK0890.0001.001,Nang̃alunod sa katihan : (nobela) / Faustino Aguilar.," Aguilar, Faustino, 1882-1955.",['Nang̃alunod sa katihan : (nobela) / Faustino Aguilar.'],"[' Aguilar, Faustino, 1882-1955.']",Maynila :,"Cultura Filipina,",1911.,['From the Severina Reyes collection.'],['tgl: Tagalog'],['Tagalog fiction.']
990003692060106381,ABP7031.0001.001,"""Pinaglahùan"" / kathâ ni Faustino Aguilar."," Aguilar, Faustino, 1882-1955.","['""Pinaglahùan"" / kathâ ni Faustino Aguilar.']","[' Aguilar, Faustino, 1882-1955.']",Maynila :,"""Manila Filat'elico,""",1907.,"['At head of title: Nobelag̃ Tagalog.', 'Novel.']",['tgl: Tagalog'],[]
990008777070106381,ADT4867.0001.001,"Address to the Filipino People:  April 19, 1901 / Emilio Aguinaldo."," Aguinaldo, Emilio, 1869-1964.","['Address to the Filipino People:  April 19, 1901 / Emilio Aguinaldo.']","[' Aguinaldo, Emilio, 1869-1964.']",Manila :,"[s.n.],",1901.,"['In English, Spanish, and Tagalog.', 'Microfilm. [New York] : New York Public Library Photographic Service, 1978. 1 reel ; 35 mm. ""BFG p.v. 5 [no.] 15.""']",['eng: English'],"['Philippines -- History', 'Philippines -- Relations -- United States.']"
990018711030106381,AHZ9328.0001.001,Resena veridica de la revolución filipina.," Aguinaldo, Emilio, 1869-1964.",['Resena veridica de la revolución filipina.'],"[' Aguinaldo, Emilio, 1869-1964.']","Tarlak, P.I","Imprenta nacional,",1899.,[],['spa: Spanish'],[]
990012569540106381,AFJ2298.0001.001,"True version of the Philippine revolution, by Don Emilio Aguinaldo y Famy, president of the Philippine republic."," Aguinaldo, Emilio, 1869-1964.","['True version of the Philippine revolution, by Don Emilio Aguinaldo y Famy, president of the Philippine republic.']","[' Aguinaldo, Emilio, 1869-1964.']","Tarlak,","P.I.,",1899.,[],['eng: English'],"['Philippines -- History', 'Philippines -- History']"
990006347620106381,ACS6881.0001.001,Mutyang itinapon : nobelang Tagalog / sinulat ni Rosalia L. Aguinaldo ; may panghuling salita ni Dionisio San Agustin.," Aguinaldo, Rosalia L.",['Mutyang itinapon : nobelang Tagalog / sinulat ni Rosalia L. Aguinaldo ; may panghuling salita ni Dionisio San Agustin.'],"[' Aguinaldo, Rosalia L.', 'San Agustin, Dionisio.']",Maynila :,"s. n.,",1922.,"['Advertisements found in the last few pages.', 'Novel.']",['tgl: Tagalog'],[]
990025536490106381,ANG5071.0001.001,Compilation of notes on the most important timber tree species of the Philippine Islands.," Ahern, George Patrick, 1859-1942.",['Compilation of notes on the most important timber tree species of the Philippine Islands.'],"[' Ahern, George Patrick, 1859-1942.']",,,,[],['eng: English'],"['Timber -- Philippines.', 'Trees -- Philippines.']"
990003955880106381,ABS3815.0001.001,Suplemento al diccionario Visaya = Español / compuesto por el R. P. Fr. Antonio V. Alcázar.," Alcázar, Antonio Valeriano",['Suplemento al diccionario Visaya = Español / compuesto por el R. P. Fr. Antonio V. Alcázar.'],"[' Alcázar, Antonio Valeriano']",Manila :,"Imp. de Santos y Bernal,",1921.,[],['spa: Spanish'],['Cebuano language -- Dictionaries']
990002392810106381,ABA4805.0001.001,"Historia de España en América (isla de Cuba), por don José de Alcázar."," Alcázar, José de.","['Historia de España en América (isla de Cuba), por don José de Alcázar.']","[' Alcázar, José de.']","Madrid,","Tipografía Herres,",1898.,"['""Orden de sucesión de los gobernadores en la isla de Cuba"": p. [177]']",['spa: Spanish'],"['Governors -- Cuba', 'Cuba -- History']"
990029150890106381,AQJ7921.0001.001,Ti nagbanagan ti apal:  novela (en verzo Ilocano) / insurat ni Apo Alcaraz;tinaumaan ni apo F. Arce.," Alcaraz, Apo.",['Ti nagbanagan ti apal:  novela (en verzo Ilocano) / insurat ni Apo Alcaraz;tinaumaan ni apo F. Arce.'],"[' Alcaraz, Apo.', 'American Philosophical Society. Library.']","Aparri, Cagayan :","Liberty Press,",1933.,"['Microfilm no. 25', 'In Iloko language.', 'Errata slip inserted.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']",['ilo: ilo'],['Iloko fiction.']
990039224150106381,BAB7486.0001.001,España en Filipinas : los últimos años su de [sic] dominación en el archipiélago / por Casimiro Alcubierre.," Alcubierre, Casimiro.",['España en Filipinas : los últimos años su de [sic] dominación en el archipiélago / por Casimiro Alcubierre.'],"[' Alcubierre, Casimiro.']",[Spain?] :,"Tip. El Imparcial,",1910.,[],['spa: Spanish'],"['Philippines -- Politics and government', 'Spain -- Colonies -- Philippines.']"
990015462180106381,AGQ0403.0001.001,Referencias de la jurisprudencia Filipina / por L. G. Aldeguer ; con prologo del Ignario Villamor.," Aldeguer, Luis G.",['Referencias de la jurisprudencia Filipina / por L. G. Aldeguer ; con prologo del Ignario Villamor.'],"[' Aldeguer, Luis G.', 'Villamor, Ignario.']","Intramuros, Manila :","Cultura Filipina,",1918.,[],['spa: Spanish'],['Law -- Indexes. -- Philippines']
990015210490106381,AGM4908.0001.001,"Tercera parte de la vida del gran Tacaño [ó sea la continuación de la Vida del buscon, llamado Don Pablos] Obra inédita publicada con prólogo y notas de W.E. Retana."," Alemany, Vicente, 1729-1817.","['Tercera parte de la vida del gran Tacaño [ó sea la continuación de la Vida del buscon, llamado Don Pablos] Obra inédita publicada con prólogo y notas de W.E. Retana.']","[' Alemany, Vicente, 1729-1817.', 'Quevedo, Francisco de, 1580-1645. Vida del buscón.', 'Retana, W.E. (Wenceslao Emilio), 1862-1924.']",,,,"['""Extrait de la Revue hispanique, tome LIV.""', 'Bibliographical footnotes.']",['spa: Spanish'],[]
990002460350106381,ABB1640.0001.001,Luçon et Mindanao. Extraits d'un journal de voyage dans l'Extrême Orient. Avec une carte de l'archipel des Philippines," Alençon, Ferdinand Philippe Marie d'Orleans, duc d' 1844-1910.","[""Luçon et Mindanao. Extraits d'un journal de voyage dans l'Extrême Orient. Avec une carte de l'archipel des Philippines""]","["" Alençon, Ferdinand Philippe Marie d'Orleans, duc d' 1844-1910.""]","Paris,","Michel Lévy frères,",1870.,[],['fre: French'],"['Philippines -- Description and travel', 'Luzon (Philippines) -- Description and travel.', 'Mindanao Island (Philippines) -- Description and travel.']"
990012613330106381,AFJ6766.0001.001,The story of Hawaii / by Mary Charlottee Alexander.," Alexander, Mary Charlotte, 1874-.",['The story of Hawaii / by Mary Charlottee Alexander.'],"[' Alexander, Mary Charlotte, 1874-.']",New York :,"American Book,",c1912.,['Bibliography: p. 266-268.'],['eng: English'],['Hawaii -- History']
990012613790106381,AFJ6812.0001.001,History of later years of the Hawaiian monarchy and the revolution of 1893.," Alexander, W. D. (William De Witt), 1833-1913.",['History of later years of the Hawaiian monarchy and the revolution of 1893.'],"[' Alexander, W. D. (William De Witt), 1833-1913.']","[Honolulu,","Hawaiian gazette company,",1896],[],['eng: English'],['Hawaii -- History']
990002780410106381,ABE4397.0001.001,"A brief history of the Hawaiian people, by W. D. Alexander; published by order of the Board of education of the Hawaiian islands."," Alexander, William De Witt, 1833-","['A brief history of the Hawaiian people, by W. D. Alexander; published by order of the Board of education of the Hawaiian islands.']","[' Alexander, William De Witt, 1833-', 'Hawaii. Board of Education.']","New York,",American book company,[1899],[],['eng: English'],['Hawaii -- History']
990004672350106381,ABZ6565.0001.001,"The Spanish-American War, by R. A. Alger."," Alger, R. A. (Russell Alexander), 1836-1907.","['The Spanish-American War, by R. A. Alger.']","[' Alger, R. A. (Russell Alexander), 1836-1907.']","New York,","Harper & bros.,",1901.,[],['eng: English'],"['Spanish-American War, 1898.']"
990042350510106381,BBN0289.0001.001,Climate of the Philippines:  by José Algué.," Algué, José.",['Climate of the Philippines:  by José Algué.'],"[' Algué, José.']",Manila :,"Bureau of Printing,",[1915?],"['Microfilm. [New York, N.Y.] : New York Public Library Photographic Service, 1978. 1 microfilm reel ; 35 mm.']",['eng: English'],[]
990014860610106381,AGH8796.0001.001,"The cyclones of the Far East, by Rev. José Algué, S. J., director of the Philippine Weather bureau, Manila observatory ..."," Algué, José.","['The cyclones of the Far East, by Rev. José Algué, S. J., director of the Philippine Weather bureau, Manila observatory ...']","[' Algué, José.', 'Manila Observatory.']","Manila,","Bureau of public printing,",1904.,"['1st edition pub. 1897 under title: Baguios ó ciclones filipinos.', 'Bibliographies interspersed.']",['eng: English'],['Typhoons.']
990010095910106381,AEG8734.0001.001,Tagalog literature; a historico-critical study.," Alip, Eufronio Melo, 1904-",['Tagalog literature; a historico-critical study.'],"[' Alip, Eufronio Melo, 1904-']","Manila,","U. S. T. Press, 1930 [i. e.",1931],[],['eng: English'],['Tagalog literature -- History and criticism.']
990012569020106381,AFJ2246.0001.001,The Philippines of yesteryears; the dawn of history in the Philippines.," Alip, Eufronio Melo, ed. 1904-",['The Philippines of yesteryears; the dawn of history in the Philippines.'],"[' Alip, Eufronio Melo, ed. 1904-']","[Manila,","Alip,",c1964],[],['eng: English'],['Philippines -- History']
990005985600106381,ACP0143.1875.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1875]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1875]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1883.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1883]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1883]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1887.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1887]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1887]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1888.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1888]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1888]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1889.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1889]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1889]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1890.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1890]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1890]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1891.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1891]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1891]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1892.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1892]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1892]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1893.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1893]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1893]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1894.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1894]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1894]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1895.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1895]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1895]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1896.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1896]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1896]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1900.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1900]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1900]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1901.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1901]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1901]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1902.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1902]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1902]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1903.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1903]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1903]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1904.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1904]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1904]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1905.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1905]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1905]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1906.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1906]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1906]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1907.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1907]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1907]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1908.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1908]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1908]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1909.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1909]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1909]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1910.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1910]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1910]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1911.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1911]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1911]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1912.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1912]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1912]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1913.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1913]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1913]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1914.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1914]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1914]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1915.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1915]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1915]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
990005985600106381,ACP0143.1916.001,"All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1916]",,"[""All about Hawaii. The recognized book of authentic information on Hawaii, combined with Thrum's Hawaiian annual and standard guide. [1916]""]",[],,,,['Subtitle varies slightly.'],['eng: English'],['Hawaii']
